Repeat	Time (hr)	GFP (Cpf1)	DSB (Cpf1)	GFP (SpCas9)	DSB (SpCas9)
CTG	0	7	3	0	0
CTG	2	8	3	0	2
CTG	4	10	4	2	3
CTG	6	12	6	13	3
CTG	8	8	4	24	2
CTG	10	11	4	35	2
CTG	12	11	4	44	3
GAA	0	6	5	11	3
GAA	2	9	8	11	5
GAA	4	10	9	15	7
GAA	6	14	10	24	8
GAA	8	20	9	34	7
GAA	10	29	9	33	6
GAA	12	35	6	32	7
CGG	0	6	1	20	4
CGG	2	6	1	25	7
CGG	4	3	0	33	9
CGG	6	4	0	41	5
CGG	8	4	0	50	8
CGG	10	3	0	59	6
CGG	12	4	1	65	7
NR	0	77	13	6	3
NR	2	78	12	6	3
NR	4	80	12	8	7
NR	6	80	8	19	7
NR	8	86	9	32	6
NR	10	89	6	53	6
NR	12	85	6	59	6
