well,bf,gfp,time,experiment,defect,nuclease
1,1,0,0,CGG_SpCas9,CGG,SpCas9
1,1,0,20,CGG_SpCas9,CGG,SpCas9
1,1,0,40,CGG_SpCas9,CGG,SpCas9
1,1,0,60,CGG_SpCas9,CGG,SpCas9
1,1,0,80,CGG_SpCas9,CGG,SpCas9
1,1,0,100,CGG_SpCas9,CGG,SpCas9
1,1,0,120,CGG_SpCas9,CGG,SpCas9
1,1,0,140,CGG_SpCas9,CGG,SpCas9
1,1,0,160,CGG_SpCas9,CGG,SpCas9
1,1,0,180,CGG_SpCas9,CGG,SpCas9
1,1,0,200,CGG_SpCas9,CGG,SpCas9
1,1,0,220,CGG_SpCas9,CGG,SpCas9
1,1,0,240,CGG_SpCas9,CGG,SpCas9
1,1,0,260,CGG_SpCas9,CGG,SpCas9
1,1,0,280,CGG_SpCas9,CGG,SpCas9
1,1,0,300,CGG_SpCas9,CGG,SpCas9
1,1,0,320,CGG_SpCas9,CGG,SpCas9
1,1,0,340,CGG_SpCas9,CGG,SpCas9
1,1,0,360,CGG_SpCas9,CGG,SpCas9
1,1,0,380,CGG_SpCas9,CGG,SpCas9
1,2,0,400,CGG_SpCas9,CGG,SpCas9
1,2,0,420,CGG_SpCas9,CGG,SpCas9
1,2,0,440,CGG_SpCas9,CGG,SpCas9
1,2,0,460,CGG_SpCas9,CGG,SpCas9
1,2,0,480,CGG_SpCas9,CGG,SpCas9
1,2,0,500,CGG_SpCas9,CGG,SpCas9
1,2,0,520,CGG_SpCas9,CGG,SpCas9
1,2,0,540,CGG_SpCas9,CGG,SpCas9
1,2,0,560,CGG_SpCas9,CGG,SpCas9
1,2,0,580,CGG_SpCas9,CGG,SpCas9
1,2,0,600,CGG_SpCas9,CGG,SpCas9
1,2,0,620,CGG_SpCas9,CGG,SpCas9
1,2,0,640,CGG_SpCas9,CGG,SpCas9
1,2,0,660,CGG_SpCas9,CGG,SpCas9
1,2,0,680,CGG_SpCas9,CGG,SpCas9
1,2,0,700,CGG_SpCas9,CGG,SpCas9
1,2,0,720,CGG_SpCas9,CGG,SpCas9
1,2,0,740,CGG_SpCas9,CGG,SpCas9
1,3,1,760,CGG_SpCas9,CGG,SpCas9
1,4,1,780,CGG_SpCas9,CGG,SpCas9
1,4,3,800,CGG_SpCas9,CGG,SpCas9
1,4,3,820,CGG_SpCas9,CGG,SpCas9
1,4,3,840,CGG_SpCas9,CGG,SpCas9
