experiment,time,bf,gfp,defect,nuclease
CGG_SpCas9,0,1.0,0.03125,CGG,SpCas9
CGG_SpCas9,20,1.015625,0.03125,CGG,SpCas9
CGG_SpCas9,40,1.03125,0.03125,CGG,SpCas9
CGG_SpCas9,60,1.03125,0.03125,CGG,SpCas9
CGG_SpCas9,80,1.0625,0.03125,CGG,SpCas9
CGG_SpCas9,100,1.078125,0.046875,CGG,SpCas9
CGG_SpCas9,120,1.078125,0.046875,CGG,SpCas9
CGG_SpCas9,140,1.125,0.046875,CGG,SpCas9
CGG_SpCas9,160,1.109375,0.046875,CGG,SpCas9
CGG_SpCas9,180,1.15625,0.046875,CGG,SpCas9
CGG_SpCas9,200,1.1875,0.078125,CGG,SpCas9
CGG_SpCas9,220,1.203125,0.109375,CGG,SpCas9
CGG_SpCas9,240,1.328125,0.125,CGG,SpCas9
CGG_SpCas9,260,1.421875,0.125,CGG,SpCas9
CGG_SpCas9,280,1.53125,0.125,CGG,SpCas9
CGG_SpCas9,300,1.671875,0.171875,CGG,SpCas9
CGG_SpCas9,320,1.765625,0.1875,CGG,SpCas9
CGG_SpCas9,340,1.890625,0.21875,CGG,SpCas9
CGG_SpCas9,360,2.0,0.25,CGG,SpCas9
CGG_SpCas9,380,2.125,0.28125,CGG,SpCas9
CGG_SpCas9,400,2.28125,0.390625,CGG,SpCas9
CGG_SpCas9,420,2.359375,0.40625,CGG,SpCas9
CGG_SpCas9,440,2.53125,0.46875,CGG,SpCas9
CGG_SpCas9,460,2.703125,0.53125,CGG,SpCas9
CGG_SpCas9,480,2.84375,0.6875,CGG,SpCas9
CGG_SpCas9,500,3.25,0.78125,CGG,SpCas9
CGG_SpCas9,520,3.484375,0.859375,CGG,SpCas9
CGG_SpCas9,540,3.625,1.015625,CGG,SpCas9
CGG_SpCas9,560,3.96875,1.171875,CGG,SpCas9
CGG_SpCas9,580,4.234375,1.296875,CGG,SpCas9
CGG_SpCas9,600,4.6875,1.59375,CGG,SpCas9
CGG_SpCas9,620,5.03125,1.828125,CGG,SpCas9
CGG_SpCas9,640,5.453125,2.0625,CGG,SpCas9
CGG_SpCas9,660,5.875,2.28125,CGG,SpCas9
CGG_SpCas9,680,6.3125,2.453125,CGG,SpCas9
CGG_SpCas9,700,6.796875,2.859375,CGG,SpCas9
CGG_SpCas9,720,7.4375,3.171875,CGG,SpCas9
CGG_SpCas9,740,8.234375,3.59375,CGG,SpCas9
CGG_SpCas9,760,8.78125,4.046875,CGG,SpCas9
CGG_SpCas9,780,9.28125,4.375,CGG,SpCas9
CGG_SpCas9,800,10.21875,4.96875,CGG,SpCas9
CGG_SpCas9,820,11.03125,5.71875,CGG,SpCas9
CGG_SpCas9,840,11.828125,6.34375,CGG,SpCas9
CGG_SpCas9,860,12.875,7.28125,CGG,SpCas9
CGG_SpCas9,880,14.109375,8.203125,CGG,SpCas9
CGG_SpCas9,900,15.078125,9.03125,CGG,SpCas9
CGG_SpCas9,920,16.3125,9.859375,CGG,SpCas9
CGG_SpCas9,940,17.6875,11.34375,CGG,SpCas9
CGG_SpCas9,960,19.09375,11.71875,CGG,SpCas9
