experiment,time,nuclease,defect,well,bf,gfp,initial_cells
CGG-Cpf1,0,Cpf1,CGG,52.0,1.0,0.0,1.0
CGG-Cpf1,20,Cpf1,CGG,52.0,1.0,0.0,1.0
CGG-Cpf1,40,Cpf1,CGG,52.0,1.0,0.0,1.0
CGG-Cpf1,60,Cpf1,CGG,52.0,1.0,0.0,1.0
CGG-Cpf1,80,Cpf1,CGG,52.0,1.019047619047619,0.0,1.0
CGG-Cpf1,100,Cpf1,CGG,52.0,1.0095238095238095,0.0,1.0
CGG-Cpf1,120,Cpf1,CGG,52.0,1.0095238095238095,0.0,1.0
CGG-Cpf1,140,Cpf1,CGG,52.0,1.019047619047619,0.0,1.0
CGG-Cpf1,160,Cpf1,CGG,52.0,1.0380952380952382,0.0,1.0
CGG-Cpf1,180,Cpf1,CGG,52.0,1.0761904761904761,0.0,1.0
CGG-Cpf1,200,Cpf1,CGG,52.0,1.0857142857142856,0.0,1.0
CGG-Cpf1,220,Cpf1,CGG,52.0,1.0857142857142856,0.0,1.0
CGG-Cpf1,240,Cpf1,CGG,52.0,1.1238095238095238,0.0,1.0
CGG-Cpf1,260,Cpf1,CGG,52.0,1.1428571428571428,0.0,1.0
CGG-Cpf1,280,Cpf1,CGG,52.0,1.180952380952381,0.0,1.0
CGG-Cpf1,300,Cpf1,CGG,52.0,1.2380952380952381,0.0,1.0
CGG-Cpf1,320,Cpf1,CGG,52.0,1.276190476190476,0.0,1.0
CGG-Cpf1,340,Cpf1,CGG,52.0,1.3047619047619048,0.0,1.0
CGG-Cpf1,360,Cpf1,CGG,52.0,1.3904761904761904,0.0,1.0
CGG-Cpf1,380,Cpf1,CGG,52.0,1.4476190476190476,0.0,1.0
CGG-Cpf1,400,Cpf1,CGG,52.0,1.5047619047619047,0.0,1.0
CGG-Cpf1,420,Cpf1,CGG,52.0,1.5714285714285714,0.0,1.0
CGG-Cpf1,440,Cpf1,CGG,52.0,1.7047619047619047,0.0,1.0
CGG-Cpf1,460,Cpf1,CGG,52.0,1.8095238095238095,0.0,1.0
CGG-Cpf1,480,Cpf1,CGG,52.0,1.838095238095238,0.0,1.0
CGG-Cpf1,500,Cpf1,CGG,52.0,1.9619047619047618,0.0,1.0
CGG-Cpf1,520,Cpf1,CGG,52.0,2.057142857142857,0.0,1.0
CGG-Cpf1,540,Cpf1,CGG,52.0,2.219047619047619,0.0,1.0
CGG-Cpf1,560,Cpf1,CGG,52.0,2.361904761904762,0.0,1.0
CGG-Cpf1,580,Cpf1,CGG,52.0,2.447619047619048,0.0,1.0
