,beta,alpha,lp__
0,0.00038632408835425323,0.004307671440090566,-1949.8414665083726
1,0.0003948695278207899,0.004230526492071733,-1949.6017930265193
2,0.0004740949664225662,0.004285459900331581,-1949.9319428690922
3,0.0004742223283426224,0.004116875463871945,-1950.5578141733693
4,0.0004017266829796514,0.004246322591897769,-1949.523105053753
5,0.0004561481660683476,0.004162651841250345,-1949.8965764184638
6,0.00045512701030053337,0.004285359217831188,-1949.7047100713785
7,0.00040779860138910167,0.00427587286421706,-1949.5314497497864
8,0.0004413758425816744,0.004220687925709319,-1949.5025034874661
9,0.0004253832589535884,0.004205453524946258,-1949.5267093508744
10,0.0003913729223496094,0.004186955536783274,-1949.854570182934
11,0.0005288248748087759,0.004280258512180471,-1951.0265452157219
12,0.0003539217953885904,0.004278105130197389,-1950.265778440934
13,0.0005145366271088834,0.004388900439254072,-1952.0187298474843
14,0.00039627327276524024,0.004195969121458422,-1949.7371457527117
15,0.00036788040755667976,0.0043994287983095655,-1951.0896627637833
16,0.0004077783025338575,0.004217660663742855,-1949.537892685537
17,0.0005106208309130599,0.004183299490729607,-1950.5003672992448
18,0.0004749570702604582,0.004188565912770553,-1949.8947010214629
19,0.0003835374556360647,0.0042012383321166046,-1949.8618199915236
20,0.0003361729571467464,0.004232189964486918,-1950.7987377413035
21,0.000372986069954632,0.0042299037188915315,-1949.9003302524739
22,0.00045611573684405186,0.004291633877810193,-1949.75128542012
23,0.0003940285063901442,0.004264125194047382,-1949.5963020033098
24,0.00045071663320859335,0.004466677770129305,-1952.4477116367877
25,0.0003617532921535728,0.004306290501760247,-1950.2021256650974
26,0.0003668743335699795,0.0045573646066410555,-1954.9125323897836
27,0.000411510002730913,0.004206730779400171,-1949.5617638159706
28,0.0005545442768074805,0.0042368870282473775,-1951.5609248350581
29,0.0003716837690332013,0.00427988875682448,-1949.9155048425848
30,0.00044751058372317443,0.004252864814690345,-1949.5264587943004
31,0.00042892510096930386,0.004135076742471678,-1950.1229969463343
32,0.00041357492204920516,0.004458927211393077,-1951.9784430212235
33,0.0005356373700218064,0.004218069245694021,-1950.9995522986428
34,0.00036083719537158634,0.004259635380087186,-1950.0919467388624
35,0.00031761187315752527,0.00430919018285454,-1951.4830633479937
36,0.0004905067266199719,0.004183228500955053,-1950.1386593534446
37,0.00038757512086474977,0.004083355343766522,-1951.3409013408377
38,0.0004243811247915263,0.004340885804383386,-1949.9767445596024
39,0.00034898026357879175,0.004205756682234208,-1950.5528726046052
40,0.0003974641337788266,0.004156574931375979,-1950.065277229705
41,0.000568818950187202,0.004084252256862259,-1952.9470612122798
42,0.0004274111187255503,0.004109587469300778,-1950.49021156265
43,0.0004318112653599352,0.004246168508523757,-1949.4505012433558
44,0.00037394545895363365,0.004363462089789514,-1950.5019592724123
45,0.000584197830859359,0.004258423504078859,-1952.645016563409
46,0.0003906730354952048,0.004206495282182062,-1949.738155099955
47,0.00040029207763483986,0.0042815023221793,-1949.5919888648746
48,0.00040299516836198317,0.004228497174491813,-1949.537719722497
49,0.00043140250448736654,0.004219791825720091,-1949.477689551158
50,0.0003631417863753519,0.0040607101458545545,-1952.3567321784674
51,0.00038963715088165306,0.004276113025591733,-1949.6646864371755
52,0.0005097892263392386,0.0041513858527709325,-1950.6976039805515
53,0.00047116405558906324,0.00419213550136489,-1949.8328746557024
54,0.0003890283282916379,0.004377520356971297,-1950.5251827656077
55,0.00036051408673894115,0.004251459005252937,-1950.102007968472
56,0.0004875881584282261,0.0042416860207743655,-1949.9776457002988
57,0.00043060253255060993,0.00424287667655999,-1949.4473738160532
58,0.00046852049720585016,0.004197922690761146,-1949.7780046427645
59,0.0004157684311184879,0.004229117606152957,-1949.4708357153181
60,0.0004256552755533417,0.004193057259828227,-1949.5902200709086
61,0.0005202706384152204,0.004112068579521363,-1951.331831298884
62,0.00030701456503740194,0.004236650334953589,-1951.9143659938268
63,0.000496536569834851,0.004341493979528907,-1950.8567542971782
64,0.00028704972108799687,0.004345479965670725,-1953.1035193950213
65,0.00039197376326787105,0.004183891687314731,-1949.8709026755078
66,0.0003779614343383559,0.00424787185576908,-1949.7851159885042
67,0.00044964344206341176,0.004298445318741594,-1949.7366462349778
68,0.00041691048912353393,0.004238423913246325,-1949.454845811743
69,0.00047354865343199966,0.004181990967550587,-1949.9142082471478
70,0.00048407634302511743,0.004161118244704073,-1950.1928273207711
71,0.0004462719357127533,0.004185173473916441,-1949.6738498091272
72,0.00046742837431901983,0.004310287498026131,-1950.021595225899
73,0.00033313617596266137,0.004172573625369621,-1951.3387302292906
74,0.0003242100249353559,0.00442660057184916,-1952.5530156671948
75,0.000446853028354381,0.004345921453122303,-1950.1616206680926
76,0.00046396789304689487,0.004174616519814643,-1949.863573504408
77,0.0005367445564588942,0.004247963509704999,-1951.0769495301136
78,0.0004508648704264199,0.004336827421473817,-1950.0933392071508
79,0.00038608088779350404,0.0044196315499704635,-1951.232201618933
80,0.00039050005741761385,0.004243302140788791,-1949.6259314318022
81,0.0004327308704689681,0.004202149761142473,-1949.5428121211135
82,0.0003708331667412707,0.004161726337170406,-1950.4210337190082
83,0.00041121830244112177,0.004250907373714462,-1949.4711047472797
84,0.0004171983640381991,0.004198837859273398,-1949.5771416604157
85,0.0004323178599946465,0.00417142284518554,-1949.739975171716
86,0.0004001518284389841,0.004287934736834549,-1949.6187941294563
87,0.00040451606634465443,0.004024014218607784,-1952.5028952165846
88,0.0004525398013327608,0.004252484417179464,-1949.5626112773173
89,0.00046414479420904276,0.004396587939649911,-1951.125041091461
90,0.0004457535392609675,0.004186023581057603,-1949.666258748921
91,0.00035709083402271576,0.00439536801370885,-1951.2087223507683
92,0.00045825072822229865,0.004210604673184514,-1949.63463485201
93,0.00038854304631251197,0.004272665645267919,-1949.6674163836356
94,0.000541798959545007,0.004237592192200784,-1951.1882936653133
95,0.00040283391593255106,0.004254363105231885,-1949.5168627911485
96,0.00035901188490546646,0.004198329849395881,-1950.3468358671792
97,0.0003145020953977686,0.004336369866525634,-1951.7666104379948
98,0.0004432249655041069,0.0042190080976687635,-1949.5144076403242
99,0.00038523380599172027,0.004372961120435634,-1950.4950237856915
100,0.0005376071589980506,0.004468043672022417,-1954.49862997074
101,0.00046203579905975284,0.0042841021948075795,-1949.7695579326855
102,0.00038411224805168405,0.004261712071008829,-1949.701040624573
103,0.00046191437926585875,0.004197042803476412,-1949.7166304197451
104,0.0004839760369046588,0.004284605491471082,-1950.080143578728
105,0.00041780927650755307,0.004171352375455865,-1949.7681161266314
106,0.0004625189880280017,0.00432054476281232,-1950.0523886838503
107,0.0005479664117339741,0.004158877044066652,-1951.5344349923546
108,0.0004512071732049802,0.004228017260602504,-1949.5450037152996
109,0.0003194782436700715,0.004356380434445778,-1951.7516624566938
110,0.0004919991304075044,0.004201183052830384,-1950.086387222859
111,0.00039551258431175766,0.0042794884666490585,-1949.6204648229382
112,0.00042818807469044824,0.004229299317262778,-1949.454923422494
113,0.00039021893758079296,0.004349004370342892,-1950.1599844997108
114,0.0005612918745809905,0.0041827393790166275,-1951.7974402931363
115,0.0004039056021615321,0.0041203861148271384,-1950.4714638059372
116,0.0004474008244439364,0.004323117823346197,-1949.9201794601074
117,0.0004468808991478357,0.004301825979120864,-1949.7380784335644
118,0.0003753138824209897,0.004134115250667856,-1950.6837543071163
119,0.0004401128617949581,0.0043039334389500606,-1949.7069935917652
120,0.00037147913427417335,0.0041215585338854055,-1950.9515954415913
121,0.0003841158077999349,0.004310498778208753,-1949.883617130374
122,0.0003722520064185419,0.004424342463688226,-1951.4591145335592
123,0.0004450500816005062,0.004292845368790479,-1949.6649852266148
124,0.0005618128536692839,0.004107924202655876,-1952.4142378313852
125,0.00039197051447879534,0.00421906820264078,-1949.6667807370638
126,0.0003417920645609295,0.004303389212501848,-1950.65869014815
