,beta,alpha,lp__
0,0.00013060204083504165,0.0025115882523084445,-1200.9269893323365
1,0.00017008892558403773,0.0022774455679455676,-1201.3318012324494
2,0.00014377152976591056,0.0022871882732589457,-1201.46561710211
3,0.00013658179232663837,0.002366569399740739,-1200.7414475063833
4,0.00019622308148920678,0.002503959707730243,-1200.591651343284
5,0.00024604585265005133,0.0023118071613298596,-1202.1518973045365
6,0.00011329760982648207,0.0024631238418748565,-1201.3963136514537
7,0.00015846524581082294,0.0023336405130967505,-1200.652115476484
8,0.00014132487561017857,0.0026073931373772853,-1201.7659845465732
9,0.00016097988770666797,0.0022615620189590227,-1201.6495048578417
10,0.00010712270923148688,0.0025172785144840244,-1201.994546851209
11,0.00011785837942632361,0.0023865051622097514,-1201.2895687499201
12,9.203183174293765e-05,0.002573352760217686,-1203.6176403907964
13,0.00011084162082272625,0.0022249397649221144,-1203.9307253926634
14,0.00013058128160242506,0.002478327329648483,-1200.7445644044099
15,0.00019625047177119264,0.0026010220801303296,-1201.7200368380045
16,0.00019405363767746074,0.002459050588286305,-1200.329525304703
17,0.00022257395883723614,0.0024405146807749147,-1200.8603867515628
18,0.00013572830319566944,0.0024234260044600216,-1200.5259040357962
19,0.00020809625314371504,0.002337550026322665,-1200.9163476651613
20,0.00019038685279204132,0.002701450512150158,-1203.6408785265062
21,0.0001899699463326058,0.002256631471047066,-1201.7639141272819
22,0.00012737178301743725,0.002324639260097078,-1201.4217616978349
23,0.00016510739179347272,0.0022993865690182054,-1201.0190679622956
24,0.0001961222192176231,0.002344201785578898,-1200.666277194837
25,0.0001596407322678615,0.0025057579606855276,-1200.3944007767213
26,0.0001802303348237476,0.0025211477191760616,-1200.5412502987028
27,0.0002082959797968682,0.0025178888648559727,-1200.924328567291
28,0.00018291836101990151,0.002489351131309046,-1200.3351944015485
29,0.00018367892189733812,0.002367015176746479,-1200.367460359743
30,0.00019210228581106043,0.00222270788630374,-1202.4672608803762
31,0.00015919892323596428,0.002446654431957074,-1200.152658746619
32,0.00016222526498080366,0.0025056932390878327,-1200.3822037690945
33,0.00020259642815019012,0.0023569263930566507,-1200.6631996737078
34,0.0002262695401488257,0.0023904110282569916,-1201.000480786467
35,0.00015754397942467104,0.0025503254293790397,-1200.8056174888727
36,0.00012827798541803216,0.002361744821830274,-1201.0297848656066
37,0.00010112370361622075,0.002456223922719535,-1202.1172570302585
38,0.0002482114228158561,0.0022366496590425556,-1203.379098777165
39,0.00016261009693237892,0.0023959307064218374,-1200.192459423699
40,0.00018730246890483415,0.0024113168187334904,-1200.219580007454
41,0.00017379856058246884,0.00255153390320182,-1200.8052616181103
42,0.00014144386140516724,0.0024370936361146627,-1200.3836520949399
43,0.00014498149232655767,0.002451661456629642,-1200.3284903158158
44,0.00013041998544434125,0.002457489596217813,-1200.6882854886564
45,0.0001457493894530231,0.002469506631296096,-1200.3591796476148
46,0.00021678415102813686,0.0024073494849035626,-1200.721933562838
47,0.00016101617469701013,0.002661994017644584,-1202.5589690907027
48,0.00017011857860600794,0.002457952724876507,-1200.1437824355164
49,0.00020636524235029816,0.0024766710417327056,-1200.6062337734138
50,0.0001619980503062253,0.0023473758141102224,-1200.495863473494
51,0.00012052147149042562,0.0025389028729455353,-1201.5080453488554
52,9.697793255876468e-05,0.002443749790051108,-1202.4134302687053
53,0.00018728441058013398,0.002595823037738896,-1201.508234968193
54,0.0002536443187225878,0.002433614180913025,-1201.8149628167716
55,0.00019608865739897287,0.0024345747625500007,-1200.3140756123103
56,0.00016886106309211426,0.002517597200006954,-1200.4628396183698
57,0.00014834470208427308,0.00231132628544699,-1201.037512262892
58,0.00014072647176025468,0.002453750943691461,-1200.4140113977378
59,0.00012585946287458626,0.0023812624394993907,-1200.9852182630934
60,0.00022453310982256758,0.0025611516688214216,-1201.7884166149051
61,0.00010025468819450817,0.0023777865556639712,-1202.377616356267
62,0.00015869918309934983,0.0023139949065915768,-1200.8715794488999
63,0.00014144242840860986,0.0023658937999669256,-1200.6294634859132
64,0.00014813247735854116,0.002305599240747338,-1201.1161616054214
65,0.0001538757274162079,0.0023882030384350587,-1200.2949799232404
66,0.00018913956991662925,0.0021592018721221357,-1204.0890497953403
67,0.00023505213441825265,0.002447866730809258,-1201.2251713744693
68,0.0002534540597173778,0.0025332115343146087,-1202.4075099628792
69,0.0001336683814266914,0.002446749143717238,-1200.5772405614828
70,0.00020513599239513643,0.0026181835778490052,-1202.174204760335
71,0.00015013503043500624,0.0022502847698734896,-1201.994250544741
72,0.00016122585940063784,0.0025608878778316754,-1200.9083267536887
73,0.00010922207928757113,0.0024301087881681907,-1201.5985098844237
74,0.00020117098605822132,0.0024969913053592406,-1200.6255648339286
75,0.00014289767364249436,0.0024970563212766863,-1200.536076240945
76,0.0001905251069831549,0.002382219968512121,-1200.3471391997957
77,0.00021167891134310336,0.002438214626531069,-1200.599554946812
78,0.00017111094905222858,0.0026178603775857245,-1201.7347381240509
79,0.00020264580123946306,0.0024677068644130083,-1200.4967932677134
80,0.0001738728888293136,0.0025122687720385353,-1200.4323391404232
81,0.0001983948795906834,0.0023401740988126343,-1200.7328372912568
82,0.00016856132947907202,0.0023946657964522577,-1200.1793495840354
83,0.0002349003880254648,0.002444505639440937,-1201.2129207366202
84,0.00016558558509269407,0.002316714036650555,-1200.7937693785766
85,0.00018696452589167308,0.002464175244679648,-1200.2593612354844
86,0.00014881401383010502,0.0023696333706594323,-1200.4665802030213
87,0.00013162324356008623,0.0024659499727354224,-1200.6717104854108
88,0.0001284636292276496,0.002339132448112334,-1201.224940997046
89,0.0001536830198615587,0.0023692999590603555,-1200.4024545553973
90,0.00013191115155533747,0.0024915892976737366,-1200.7656621102622
91,0.00013465113683768103,0.0023563195512491444,-1200.8724538718857
92,0.0001424305225844927,0.002476787216082485,-1200.4451501488068
93,0.00015920443841898745,0.0024297215495538136,-1200.1445479440258
94,0.00013794750500210513,0.002529814524174941,-1200.8791057984465
95,0.00013357675304564274,0.002437033348956369,-1200.5752777813445
96,0.00019192552945269763,0.002367790006324681,-1200.441010474118
97,0.00017273016425428884,0.0024978821824881378,-1200.327147521691
98,0.00021233537633378685,0.0023921532166762084,-1200.6624836778522
99,0.00010420092578254815,0.0024817494332352043,-1201.977600154208
100,0.00020180327483860743,0.0024484010373429965,-1200.4240684282856
101,0.00017498052636859135,0.002502196195939924,-1200.363757025076
102,0.0001999335384217675,0.0025563312612240678,-1201.159428847755
103,0.00011167969989550878,0.002291016640865548,-1202.6008118868453
104,0.00010899851878647105,0.002593136990215945,-1202.6980968792793
105,0.00016504987544289657,0.0023662225789788274,-1200.335744961922
106,0.00013020321337843562,0.0023656401988080057,-1200.9356987468348
107,0.00016968083291127518,0.0023791472418031234,-1200.2483118329951
108,0.00017450013058610854,0.002458906141821488,-1200.1557028451111
109,0.00018706559350373982,0.0023987259954625123,-1200.24764075206
110,0.00022511604902132279,0.002228912775819923,-1202.8939436002815
111,0.00014244521975249273,0.002453728205212468,-1200.3789533126844
112,0.00013526201341281755,0.0022992620701320662,-1201.496128476491
113,0.00013782819531728507,0.0024007023557452026,-1200.528092324808
114,0.0001781815033773073,0.0022272708523038654,-1202.2848853656687
115,0.00015094771144411067,0.00240029299576302,-1200.2827012595621
116,0.00024094904190439352,0.0022060570504939454,-1203.8158901139104
117,0.0001887614149472739,0.002326170524352398,-1200.7546837852533
118,0.00015638328369155558,0.002501092349325154,-1200.3848094277355
119,0.00012807913467148793,0.0024021770813215586,-1200.8087365535087
120,0.00022852857317041757,0.0022928889361523755,-1201.8786123919006
121,0.00019221138261310263,0.0023307108113754145,-1200.743526724983
122,0.000146720819481745,0.002327142794541746,-1200.876781017165
123,0.0001238462968534371,0.0024873938463533243,-1201.013113127264
124,9.030180790867609e-05,0.002423653538223105,-1202.9940532597182
125,0.00023789640043770012,0.0024443178642555097,-1201.304419108388
126,0.0002119697406804804,0.0025242742379696192,-1201.0622068742637
127,0.00018424576718712146,0.002419619586624925,-1200.1801011833647
128,0.00011337509228096101,0.002483695180519107,-1201.4583976723907
129,0.00018762726932528763,0.0024962155924766463,-1200.4235601105074
130,0.00020944118308050645,0.0024383000621316835,-1200.5526431006592
131,0.00015183563615092012,0.0022592592312758327,-1201.7965646469095
132,0.00015364036621422463,0.0024613080145006435,-1200.228693300829
133,0.0001859622573798891,0.0024051592069038873,-1200.2197672231416
134,0.00017179561522072203,0.0025667222300674096,-1200.9790020556045
135,0.00013669657986955491,0.0023171386383868406,-1201.217910740492
136,0.0002641354739606751,0.0025336831116073025,-1202.8246683344794
137,0.00013325161697152514,0.002239274994519863,-1202.6189558499734
138,0.0002658944889960194,0.0023564549832402215,-1202.4599275280227
139,0.00012357024811844835,0.0023671240497562572,-1201.165009428519
140,0.00014800669591231172,0.0022868736385443277,-1201.3889434912385
141,0.0001480382235326345,0.002238646123726736,-1202.266615331593
142,0.00013430216781525758,0.0024154880887592195,-1200.5780841529768
143,0.0001269151637098635,0.002244850331736434,-1202.7232986398496
144,9.152206996694543e-05,0.002335727615341653,-1203.4551045570106
145,0.00013846584290433343,0.002488808865311245,-1200.582432172679
146,0.00018275464158516266,0.002479588977421638,-1200.2825763544993
147,0.00014207345171327916,0.0024525916520184705,-1200.3843883429402
148,0.00023263603098481436,0.0023318363344932767,-1201.5433004570318
149,0.00019974134104431608,0.0025160008613394113,-1200.7436476688918
150,0.00015611683900307354,0.0024233994192239573,-1200.1734870879857
151,0.00014641090806686265,0.0025096023030511507,-1200.5577001458237
152,0.00019668502412661885,0.002313988416393568,-1200.980084857373
153,0.000213407881875759,0.002365268336508832,-1200.812071340923
154,0.0001608290149809159,0.0023236898702133817,-1200.740012321416
155,0.00014544701157447786,0.002318239693834515,-1201.0035805319521
156,0.00016407653426902388,0.002214927063092624,-1202.595598191047
157,0.000158028063099983,0.00244390160175906,-1200.1576691051519
158,0.00010399325782484092,0.0021945579518459,-1205.1320251915706
159,0.00011658027125240568,0.0024577765307737132,-1201.224479414975
160,0.0002040773039315536,0.0023190102128622108,-1201.0326174812296
161,0.00013686701806361505,0.002511353978074416,-1200.7568421154444
162,0.0001859114029507804,0.0023213022276077017,-1200.7828689855003
163,0.0001517305575550438,0.002527976619041631,-1200.6342115959333
164,0.00019714134075485276,0.002394309821642765,-1200.3835053895116
165,0.00019013032589533982,0.002372302215501069,-1200.3942247527389
166,0.00014370905283040206,0.0024608811973833,-1200.369965753166
167,0.00013964971570161507,0.002373023002799115,-1200.6219448870215
168,0.0002097657743168154,0.0025243775862776392,-1201.0141362179484
169,0.000193681591291654,0.002530910591791541,-1200.7813562505912
170,0.000177286847780524,0.0023526075232120696,-1200.435175613388
171,0.00013206269708341658,0.0024150262272324397,-1200.6436586721065
172,0.00020664106092300333,0.0023018861475300914,-1201.2819449479884
173,0.00014720518001561675,0.002347310056397471,-1200.6661636451984
174,0.00018450112278218725,0.002204278055647594,-1202.8394649015893
175,0.00015205687479194843,0.002520313885940631,-1200.5654572791227
176,0.00019045802464339514,0.002478649723428402,-1200.3584995248557
177,0.0001142510150835971,0.0023775721725821457,-1201.5177933781622
178,0.00013619813490302319,0.0023946996282552635,-1200.5928005631124
179,0.00018863858988911472,0.002816264681790544,-1206.8934067921864
180,0.00017465300591455296,0.002382115832510753,-1200.2379067880843
181,0.00025306637016502307,0.0022448802300209674,-1203.3790889994655
182,9.309412420166267e-05,0.0023987892191200976,-1202.8279815931564
183,0.00021292504774319334,0.0024479365505120504,-1200.6430832077626
184,0.00017913536039587091,0.0024328798301187704,-1200.1388007208786
185,0.0001327120618398261,0.0024830659923363563,-1200.7017010948396
186,0.0002457676215725237,0.0025602595591182986,-1202.4487590729334
187,0.00020323064705917037,0.0024896779134839044,-1200.6166210241174
188,0.00020415527959178093,0.002407815616970839,-1200.4617313947194
189,0.00016205965619721445,0.0025521936229047546,-1200.8049680595425
190,0.0001654515109348372,0.002526698368779537,-1200.5411475240223
191,8.44794280782865e-05,0.0025892017716236055,-1204.5231038323802
192,0.00018436886974623935,0.002430017654714295,-1200.1761363571
193,0.00011564105393824788,0.0022852349579394705,-1202.4804916186417
194,0.0001744155138602638,0.002594909567038384,-1201.3805984938253
195,0.0001810580130022641,0.0023518819213991403,-1200.4584377773542
196,0.0001607861173893093,0.002435573193851069,-1200.1343932910602
197,0.00017582751759684213,0.0024728879320047234,-1200.2082337766783
198,0.0001486843321589591,0.0025957298668270183,-1201.474225821283
199,0.00013136188861882992,0.002427407340817227,-1200.6449793838076
200,0.00025162765906477366,0.0024837573313328592,-1201.927758817934
201,0.00022878874845046635,0.002486362317065413,-1201.204020493252
202,0.00017300109636061767,0.0023146923494122796,-1200.8045656340826
203,0.00013191049543758384,0.0024006010145357255,-1200.6906808640986
204,0.00019810878843717967,0.00241163658766762,-1200.3550356779622
205,0.00018799520298226288,0.002377328771672147,-1200.344888600982
206,0.00018791775739810055,0.002439333557598654,-1200.2150002824026
207,0.00016552982652992543,0.0025147388648658012,-1200.440833680874
208,0.00013556098440909673,0.002449325635275727,-1200.5290609198037
209,0.0001796996171632231,0.0025390518736928603,-1200.7059958261016
210,0.00017188892238484752,0.0024574478206854863,-1200.1448857509226
211,0.0001905502142431825,0.0025864844862829475,-1201.411316359342
212,0.00017696384994158836,0.0023375090662529677,-1200.5658679058658
213,0.0001784184622425319,0.0024080001637018077,-1200.159665158081
214,0.00021633510588187074,0.002483301434368649,-1200.858719843039
215,0.00016763770027080108,0.002516831085112736,-1200.4560968681062
216,0.00014188270416259422,0.0026016016892818927,-1201.6660237684093
217,0.00013358336788956462,0.002432195615033888,-1200.5762949001412
218,0.00017168824074186733,0.00253390738804908,-1200.6131902762745
